Day,Area_km2
279,20135208.604139734
280,20498832.331446595
281,20762516.859889038
282,20709075.003357567
283,20461146.296666116
284,20428383.912308652
285,20413787.137486413
286,20396368.27441175
287,20418416.844258413
288,20024604.476868693
289,19945803.836448856
290,20006128.106020916
291,19765830.413022574
292,19704774.23147206
293,19614937.211350672
294,19523048.670027584
295,19758981.031847496
296,19433559.22862524
297,19331937.513209302
298,19565553.811625548
299,19207689.85683475
300,18978148.540798854
301,18937386.67412085
302,19096506.146684017
303,18482930.228799623
304,18371355.303353366
305,18495673.06643561
306,18872359.593980953
307,19248743.522910308
308,18818828.794652566
309,18953396.134115517
310,19031345.815033764
311,18025535.743465878
312,18270681.47542143
313,18133039.366132177
314,17753387.60604221
315,17653398.417760253
316,17662424.793200754
317,17650051.28904402
318,18119433.583496317
319,17869103.9512467
320,18030285.460742116
321,18268037.827784076
322,18187907.72106979
323,17199861.510647535
324,17269297.42080085
325,17020872.74899635
326,17131587.956911784
327,16999917.288085822
328,17023765.996659532
329,16988991.92829237
330,16943994.31036511
331,16595481.366336154
332,16494798.262971377
333,16138414.14081742
334,15787208.170825709
335,15787045.416939462
336,15451788.16259697
337,15332350.563033495
338,15323330.693784242
339,15681129.437306747
340,15990217.44212449
341,15977364.998491816
342,16228088.205982497
343,16391062.643346798
344,16318090.433692543
345,15330896.411214799
346,15070760.064663036
347,14624824.18975162
348,14436219.553084193
349,14313896.77396668
350,13958035.58136445
351,14065420.87472419
352,13898947.929053888
353,13460377.471166903
354,13382665.874466812
355,13043002.551856842
356,12580755.192913558
357,12689310.449542193
358,12634297.24076268
359,12582053.866617978
360,12439638.101840414
361,12867493.960090188
362,12998253.083568405
363,12480835.331537029
364,12636334.536731992
365,12708552.556157948
